match_id,date,week_number,court,time_slot,team_a_number,team_a_name,team_b_number,team_b_name,set1_a,set1_b,set2_a,set2_b,set3_a,set3_b,winner_team_number,is_tie,raw_text_source,is_playoff
2026-02-11_C4_M2,2026-02-11,5,4,9:10,7,Blue Dynasty,15,Block You-ah,22.0,25.0,26.0,24.0,,,15.0,False,"15 win: 22-25, 26-24",False
2026-02-18_C1_M1,2026-02-18,6,1,8:10,10,Pineapple,12,Raw Butt Sets,21.0,25.0,25.0,23.0,15.0,12.0,10.0,False,"10 win; 21-25, 25-23, 15-12",False
2026-02-18_C2_M1,2026-02-18,6,2,8:10,3,Casual Sets,5,Spikachu,18.0,25.0,17.0,25.0,,,5.0,False,"5 win: 18-25, 17-25",False
2026-02-18_C3_M1,2026-02-18,6,3,8:10,9,Emerald City Tile Club,13,Student Divers,25.0,22.0,25.0,20.0,,,9.0,False,"9 win: 25-22, 25-20 (?)",False
2026-02-18_C4_M1,2026-02-18,6,4,8:10,8,Sugar & Spike,14,Modelo,25.0,17.0,20.0,25.0,13.0,8.0,8.0,False,"8 win, 25-17, 20-25, 13-8",False
2026-02-18_C1_M2,2026-02-18,6,1,9:10,4,Volley these balls,11,Bean Machine,25.0,22.0,25.0,20.0,15.0,3.0,4.0,False,"4 win, 25-22, 25-20, 15-3",False
2026-02-18_C2_M2,2026-02-18,6,2,9:10,2,Sets Up,7,Blue Dynasty,,,,,,,7.0,False,7 win,False
2026-02-18_C3_M2,2026-02-18,6,3,9:10,12,Raw Butt Sets,15,Block You-ah,25.0,18.0,25.0,15.0,,,12.0,False,"12 win: 25-18, 25-15",False
2026-02-18_C4_M2,2026-02-18,6,4,9:10,1,Tape Ticklers,6,Double Nut Jam Jigae (DNJJ),18.0,25.0,25.0,23.0,13.0,11.0,6.0,False,"6 win, 18-25, 25-23, 13-11",False
2026-02-25_C1_M1,2026-02-25,7,1,8:10,2,Sets Up,6,Double Nut Jam Jigae (DNJJ),25.0,19.0,25.0,21.0,,,2.0,False,"2 win, 25-19, 25-21",False
2026-02-25_C2_M1,2026-02-25,7,2,8:10,9,Emerald City Tile Club,14,Modelo,18.0,25.0,33.0,35.0,,,14.0,False,"14 win, 18-25, 33-35",False
2026-02-25_C3_M1,2026-02-25,7,3,8:10,3,Casual Sets,12,Raw Butt Sets,16.0,25.0,25.0,27.0,,,12.0,False,"12 win 16-25, 25-27",False
2026-02-25_C4_M1,2026-02-25,7,4,8:10,8,Sugar & Spike,15,Block You-ah,25.0,18.0,25.0,15.0,,,8.0,False,"8 win, 25-18, 25-15",False
2026-02-25_C1_M2,2026-02-25,7,1,9:10,4,Volley these balls,5,Spikachu,25.0,23.0,26.0,24.0,,,4.0,False,"4 win, 25-23, 26-24",False
2026-02-25_C2_M2,2026-02-25,7,2,9:10,11,Bean Machine,13,Student Divers,23.0,25.0,25.0,23.0,9.0,6.0,11.0,False,"11 win: 23-25, 25-23, 9-6",False
2026-02-25_C3_M2,2026-02-25,7,3,9:10,10,Pineapple,14,Modelo,19.0,25.0,25.0,17.0,15.0,11.0,10.0,False,"10 win; 19-25, 25-17, 15-11",False
2026-02-25_C4_M2,2026-02-25,7,4,9:10,1,Tape Ticklers,7,Blue Dynasty,25.0,22.0,25.0,18.0,10.0,3.0,1.0,False,"1 win, 25-22, 25-18, 10-3",False
2026-03-04_C1_M2,2026-03-04,8,1,21:00,11,Bean Machine,15,Block You-ah,25.0,19.0,,,,,11.0,False,manual: Bean won 2-0 vs Block You-Ah. G2 score not recorded. G3 was played (player_stats has 26-0304G3) but result irrelevant; score not recorded.,True
2026-03-11_C3_M6,2026-03-11,9,3,21:00,11,Bean Machine,2,Sets Up,,,,,,,11.0,False,manual: Bean won the Silver bracket championship 2-0 vs Sets Up. G1 and G2 scores not recorded. G3 was played (player_stats has 26-0311G3) but result irrelevant; score not recorded.,True
