row,court,date,matchup_raw,score_raw,team_a,team_b,best_guess_winner,best_guess_sets,reason
45,1,2026-01-28,7 v 13,"Both teams won 1 set, no time for third set",7,13,,[],tie but score count unexpected
57,2,2026-02-18,2 v 7,7 win,2,7,7.0,[],unexpected set count: 0
